2023-08-08 16:45:41	card01	espresso
2023-08-08 16:46:21	card01	espresso
2023-08-08 16:46:41	card01	espresso
2023-08-08 16:47:54	card01	espresso
2023-08-08 16:49:21	card01	espresso
2023-08-08 16:49:44	card01	espresso
2023-08-08 16:51:20	card01	americano
2023-08-08 16:52:06	card01	espresso
2023-08-08 16:52:24	card01	cappuccino2
2023-08-08 16:53:26	als217	americano
2023-08-08 17:47:55	card01	cappuccino2
2023-08-08 17:49:38	card02	cappuccino
2023-08-08 17:57:40	card01	tea
2023-08-08 18:04:10	card01	espresso
2023-08-08 18:04:21	card01	espresso
2023-08-08 18:04:31	card01	espresso
2023-08-08 20:03:47	als217	cappuccino
2023-08-08 20:06:22	als217	americano
2023-08-08 20:07:10	card01	cappuccino2
2023-08-08 20:08:08	card01	cappuccino2
2023-08-08 20:08:15	card01	cappuccino2
2023-08-08 20:14:35	card01	espresso
2023-08-08 20:19:52	card01	espresso
2023-08-08 20:20:20	card01	espresso
2023-08-08 20:20:41	card01	americano
2023-08-08 20:32:10	als217	espresso
2023-08-08 20:32:39	card01	espresso
2023-08-08 20:32:58	card01	espresso
2023-08-08 20:33:04	card01	espresso
2023-08-08 20:33:11	card01	espresso
2023-08-09 13:29:39	als217	espresso
2023-08-09 13:32:42	card01	cappuccino2
2023-08-09 13:32:57	card01	espresso
2023-08-09 13:33:06	card01	espresso
2023-08-09 13:33:13	card01	espresso
2023-08-09 13:33:19	card01	espresso
2023-08-09 13:33:26	card01	espresso
2023-08-09 13:33:33	card01	espresso
2023-08-09 13:33:40	card01	espresso
2023-08-09 13:33:47	card01	espresso
2023-08-09 13:33:53	card01	espresso
2023-08-09 13:34:01	card01	espresso
2023-08-09 13:34:08	card01	espresso
2023-08-09 17:36:31	card01	espresso
2023-08-10 12:10:35	as3157	espresso2
2023-08-10 12:10:49	as3157	tea
2023-08-10 12:15:29	als217	cappuccino2
